NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
67027001;BELMONT;48.406333;7.267167;1065;20240101;5.2;1;-0.1;1;359;9;2.5;1;513;9;0.4;1;1.2;1;2.6;1;;;;;272;9;8.4;1;;;12.1;1;230;1;2243;1;22.6;1;220;1;2339;9;;;;;;;20.0;1;;;2340;1;;
67027001;BELMONT;48.406333;7.267167;1065;20240102;33.4;1;0.4;1;1801;9;4.5;1;1715;9;3.1;1;2.5;1;4.1;1;;;;;0;9;13.8;1;;;19.2;1;230;1;1907;9;33.9;1;230;1;1906;9;;;;;;;30.4;1;;;1859;9;;
67027001;BELMONT;48.406333;7.267167;1065;20240103;20.0;1;2.2;1;1656;9;3.8;1;637;9;3.2;1;3.0;1;1.6;1;;;;;0;9;12.5;1;;;16.8;1;240;1;932;9;31.1;1;260;1;1728;9;;;;;;;26.8;1;;;1633;9;;
67027001;BELMONT;48.406333;7.267167;1065;20240104;1.2;1;1.1;1;805;9;4.4;1;2203;9;2.2;1;2.8;1;3.3;1;;;;;0;9;8.9;1;;;14.3;1;250;1;110;9;25.1;1;270;1;342;9;;;;;;;23.1;1;;;36;9;;
67027001;BELMONT;48.406333;7.267167;1065;20240105;1.4;1;0.6;1;1757;9;2.4;1;633;9;1.4;1;1.5;1;1.8;1;;;;;205;9;6.3;1;;;9.6;1;220;1;206;9;16.6;1;230;1;310;9;;;;;;;15.2;1;;;145;9;;
67027001;BELMONT;48.406333;7.267167;1065;20240106;0.0;1;-1.4;1;448;9;-0.7;1;2140;9;-1.0;1;-1.1;1;0.7;1;;;;;1440;9;3.9;1;;;7.4;1;280;1;908;1;11.8;1;300;1;120;9;;;;;;;11.1;1;;;120;1;;
67027001;BELMONT;48.406333;7.267167;1065;20240107;0.0;1;-4.8;1;1759;9;-1.5;1;634;9;-3.5;1;-3.2;1;3.3;1;;;;;1440;9;3.6;1;;;;;;;;;16.6;1;;;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;20240108;0.0;1;-9.4;1;1651;9;-8.2;1;644;9;-8.7;1;-8.8;1;1.2;1;;;;;1440;9;4.0;1;;;;;;;;;14.9;1;;;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;20240109;2.0;1;-11.6;1;658;9;-3.1;1;2344;9;-9.8;1;-7.4;1;8.5;1;;;;;1440;9;3.0;1;;;;;;;;;10.5;1;;;;;;;;;;;;;;;;;;
67027001;BELMONT;48.406333;7.267167;1065;20240110;0.0;1;-9.1;1;1801;9;-0.9;1;1040;9;-3.0;1;-5.0;1;8.2;1;;;;;1440;9;2.5;1;;;;;;;;;7.9;1;;;;;;;;;;;;;;;;;;
